object_counts,physics_update_elapsed_time,render_elapsed_time
10,596,43
20,237,11
30,223,11
40,319,24
50,237,21
60,332,125
70,357,93
80,358,95
90,363,90
100,368,85
110,373,101
120,378,91
130,388,117
140,399,129
150,316,96
160,415,93
170,285,93
180,303,103
190,452,106
200,439,113
210,437,114
220,454,87
230,451,88
240,467,125
250,459,105
260,451,113
270,473,124
280,466,112
290,472,127
300,463,82
310,489,105
320,358,77
330,331,112
340,315,101
350,313,110
360,472,106
370,465,95
380,314,104
390,313,104
400,471,108
410,472,96
420,454,93
430,312,95
440,471,107
450,469,103
460,506,103
470,466,206
480,520,69
490,347,69
500,479,118
510,704,119
520,533,135
530,508,96
540,475,98
550,486,143
560,504,104
570,483,107
580,592,302
590,498,112
600,487,86
610,507,103
620,385,111
630,398,153
640,548,104
650,502,115
660,518,95
670,667,92
680,662,99
690,586,121
700,560,128
710,566,110
720,745,97
730,882,87
740,474,70
750,562,88
760,725,99
770,758,107
780,602,98
790,590,117
800,762,82
810,772,70
820,645,111
830,633,123
840,650,88
850,651,97
860,545,73
870,818,69
880,700,91
890,702,115
900,682,103
910,604,112
920,629,88
930,693,107
940,820,75
950,702,81
960,622,104
970,1063,72
980,732,74
990,633,72
1000,737,112
1010,720,93
1020,740,101
1030,746,111
1040,776,76
1050,724,111
1060,1038,78
1070,787,161
1080,801,135
1090,802,105
1100,833,86
1110,830,95
1120,853,111
1130,856,112
1140,1170,130
1150,820,141
1160,868,162
1170,858,135
1180,887,114
1190,748,81
1200,873,82
1210,1169,132
1220,958,108
1230,887,150
1240,985,92
1250,770,121
1260,1107,77
1270,925,87
1280,812,109
1290,866,129
1300,959,114
1310,942,101
1320,946,128
1330,945,111
1340,969,108
1350,935,162
1360,951,105
1370,1018,108
1380,989,144
1390,1022,117
1400,1051,105
1410,1049,105
1420,1057,107
1430,1190,100
1440,1025,100
1450,870,97
1460,1008,101
1470,1023,155
1480,1066,120
1490,1112,99
1500,1083,108
1510,1080,101
1520,1105,151
1530,980,102
1540,1111,147
1550,1060,117
1560,1078,121
1570,1339,106
1580,1029,85
1590,1215,117
1600,1145,122
1610,1167,117
1620,1155,112
1630,1133,97
1640,1132,67
1650,1105,108
1660,1138,132
1670,1132,115
1680,1160,88
1690,1227,135
1700,1261,112
1710,1192,102
1720,1262,123
1730,1246,180
1740,1559,80
1750,1110,77
1760,1180,101
1770,1243,98
1780,1284,135
1790,1320,104
1800,1636,118
1810,1312,118
1820,1502,94
1830,1272,122
1840,1289,120
1850,1389,123
1860,1349,109
1870,1350,119
1880,1332,157
1890,1205,141
1900,1344,118
1910,1266,110
1920,1350,97
1930,1190,107
1940,1569,110
1950,1344,116
1960,1437,117
1970,1322,298
1980,1299,94
1990,1288,145
2000,1283,94
2010,1435,86
2020,1403,110
2030,1425,103
2040,1373,139
2050,1349,109
2060,1389,96
2070,1404,154
2080,1797,93
2090,1833,119
2100,1912,128
2110,1385,97
2120,1397,109
2130,1835,103
2140,1402,105
2150,1322,113
2160,1453,116
2170,1436,108
2180,1434,133
2190,1463,112
2200,1364,98
2210,1491,118
2220,1483,142
2230,1437,107
2240,1469,107
2250,1374,179
2260,1426,137
2270,1369,101
2280,1309,105
2290,1487,144
2300,1473,108
2310,1462,146
2320,1499,118
2330,1604,196
2340,1834,136
2350,1516,139
2360,1504,96
2370,1506,113
2380,1878,111
2390,1471,173
2400,1457,130
2410,1424,125
2420,1487,133
2430,1455,111
2440,1719,115
2450,1512,128
2460,1896,118
2470,1385,126
2480,1508,112
2490,1366,101
2500,1481,99
2510,1487,96
2520,1358,103
2530,1494,118
2540,1520,151
2550,1501,143
2560,1499,106
2570,1523,98
2580,1628,93
2590,1580,92
2600,1515,185
2610,1621,171
2620,1561,111
2630,1852,139
2640,1508,125
2650,1451,120
2660,1452,137
2670,1440,90
2680,1512,141
2690,1490,113
2700,1527,131
