object_counts,physics_update_elapsed_time,render_elapsed_time
4260,1747,137
4270,2408,120
4280,2177,108
4290,2301,123
4300,1873,133
4310,2406,147
4320,2384,122
4330,2317,126
4340,2438,132
4350,2036,106
4360,2384,125
4370,2424,131
4380,2004,123
4390,2153,108
4400,2368,121
4410,1958,131
4420,2185,110
4430,2531,112
4440,1853,116
4450,2103,144
4460,2311,142
4470,1995,144
4480,2153,124
4490,2292,141
4500,2051,111
4510,2139,176
4520,1794,102
4530,2254,130
4540,2393,119
4550,1946,118
4560,2379,133
4570,2476,131
4580,2361,122
4590,2134,124
4600,2197,144
4610,2214,152
4620,2473,136
4630,2609,155
4640,2403,138
4650,2400,137
4660,1976,114
4670,2261,109
4680,2399,140
4690,2125,144
4700,1837,147
4710,2226,125
4720,2444,112
4730,2493,91
4740,2008,132
4750,2334,140
4760,2413,116
4770,2631,134
4780,2609,134
4790,2567,128
4800,2547,147
4810,2408,120
4820,2607,133
4830,2412,128
4840,2493,87
4850,2570,103
4860,2473,143
4870,2498,154
4880,2416,125
4890,2453,132
4900,2502,127
4910,2507,113
4920,2621,129
4930,2432,150
4940,1864,141
4950,2362,126
4960,2413,133
4970,2537,190
4980,1907,131
4990,2535,143
5000,2286,350
5010,1890,87
5020,2507,93
5030,2511,112
5040,2270,143
5050,2223,201
5060,1926,152
5070,1976,141
5080,2464,141
5090,2419,154
5100,2326,121
5110,2117,125
5120,2360,123
5130,2399,129
5140,2656,131
5150,2506,171
5160,1919,125
5170,2148,145
5180,2354,130
5190,2369,155
5200,2480,174
5210,2426,125
5220,2360,128
5230,2504,182
5240,2487,148
5250,2729,155
5260,2256,130
5270,2461,150
5280,2436,157
5290,2444,148
5300,2599,151
5310,2345,126
5320,2438,145
5330,2661,132
5340,2454,103
5350,2502,94
5360,2588,135
5370,2223,149
5380,1940,180
5390,2343,126
5400,2525,141
5410,2563,148
5420,2517,189
5430,2552,145
5440,2514,143
5450,2588,103
5460,2029,145
5470,2579,165
5480,2349,135
5490,2445,143
5500,2576,151
5510,2488,151
5520,2345,119
5530,2444,124
5540,2667,183
5550,2657,151
5560,2487,151
5570,2665,174
5580,2030,134
5590,2526,160
5600,2449,118
5610,2615,174
5620,1925,115
5630,2619,141
5640,2490,158
5650,2512,97
5660,2552,135
5670,2446,137
5680,2712,123
5690,2054,152
5700,2779,189
5710,2414,137
5720,2427,139
5730,2088,104
5740,2687,96
5750,2601,142
5760,2478,152
5770,2564,132
5780,2439,135
5790,2724,169
5800,2745,168
5810,2317,152
5820,2663,155
5830,2594,291
5840,2944,125
5850,2111,146
5860,2190,136
5870,2135,194
5880,2714,150
5890,2346,160
5900,2688,172
5910,2737,161
5920,2628,160
5930,2636,172
5940,2740,174
5950,2599,121
5960,2689,148
5970,2668,147
5980,2912,155
5990,2695,136
6000,2481,142
6010,2284,125
6020,2850,140
6030,2486,150
6040,2525,169
6050,2409,135
6060,2504,150
6070,2333,140
6080,2136,133
6090,2724,141
6100,2621,143
6110,2797,156
6120,2605,157
6130,2140,138
6140,2807,149
6150,2625,148
6160,2302,141
6170,2509,127
6180,2803,110
6190,2854,189
6200,2770,138
6210,2565,163
6220,2426,158
6230,2919,140
6240,2156,145
6250,2197,148
6260,2896,152
6270,2715,135
6280,2465,150
6290,2234,145
6300,2694,158
6310,2898,165
6320,2179,133
6330,2678,161
6340,2398,149
6350,2915,168
6360,2094,178
6370,2843,154
6380,2293,148
6390,2389,123
6400,2871,175
6410,2876,191
6420,2875,145
6430,2281,170
6440,2625,172
6450,2944,199
6460,2222,139
6470,2411,177
6480,2904,155
6490,2688,142
6500,2751,168
6510,2892,154
6520,2625,118
6530,2247,175
6540,2981,158
6550,2640,193
6560,2627,163
6570,2879,203
6580,2789,136
6590,2534,134
6600,3005,168
6610,3039,147
6620,2771,170
6630,2502,144
6640,3046,178
6650,2765,156
6660,2666,165
6670,2442,131
6680,2711,163
6690,2984,159
6700,2847,190
6710,2527,149
6720,2529,131
6730,2889,122
6740,2854,174
6750,2575,135
6760,2636,145
6770,2699,161
6780,2150,161
6790,2156,180
6800,2824,121
6810,2100,152
6820,2755,145
6830,2593,156
6840,2559,175
6850,2431,155
6860,2873,236
6870,3222,171
6880,2853,202
6890,3005,148
6900,2619,160
6910,2825,172
6920,2513,111
6930,3079,213
6940,2437,157
6950,2635,146
6960,2895,183
6970,2844,155
6980,2093,187
6990,2768,153
7000,2974,170
7010,2884,153
7020,2598,144
7030,2546,188
7040,3178,180
7050,2667,165
7060,2899,141
7070,3001,172
7080,2730,167
7090,2997,185
7100,2318,176
7110,2551,167
7120,2900,161
7130,2944,123
7140,2898,120
7150,2755,141
7160,2682,180
7170,2644,143
7180,3215,169
7190,2704,156
7200,2998,146
7210,3011,155
7220,3108,175
7230,2376,213
7240,2726,183
7250,2702,170
7260,2445,160
7270,2799,163
7280,3501,148
7290,3089,168
7300,3043,160
7310,3112,175
7320,3054,179
7330,3123,170
7340,2891,194
7350,2834,184
7360,2703,147
7370,3075,178
7380,2788,156
7390,2753,172
7400,3009,148
7410,2783,127
7420,3078,189
7430,2874,180
7440,2989,172
7450,2977,175
7460,2994,188
7470,2866,192
7480,2602,174
7490,2254,166
7500,2599,162
7510,3071,202
7520,2801,153
7530,3331,136
7540,3386,165
7550,3000,202
7560,3239,182
7570,3197,179
7580,2341,149
7590,3192,142
7600,2799,168
7610,2618,195
7620,3028,167
7630,2627,176
7640,2582,158
7650,3162,180
7660,2675,168
7670,2553,168
7680,2673,196
7690,2557,145
7700,3052,199
7710,3162,188
7720,2764,169
7730,3057,190
7740,2841,119
7750,3120,178
7760,3129,187
7770,3475,165
7780,3024,159
7790,2954,153
7800,2974,221
7810,2902,191
7820,2744,169
7830,3080,187
7840,3080,232
7850,3240,187
7860,2972,181
7870,2661,200
7880,3187,167
7890,3136,137
7900,2668,172
7910,3317,184
7920,3099,167
7930,2922,178
7940,3142,190
7950,3132,171
7960,3134,146
7970,2836,133
7980,2908,194
7990,2999,228
8000,3242,175
8010,2844,174
8020,3122,247
8030,3045,176
8040,3218,176
8050,3032,184
8060,2759,158
8070,3363,210
8080,2808,168
8090,3038,172
8100,2849,188
8110,3064,124
8120,2822,204
8130,2768,150
8140,3535,179
8150,2822,166
8160,3186,180
8170,3365,192
8180,2964,160
8190,2895,182
8200,3268,176
8210,3190,166
8220,2675,167
8230,2625,170
8240,2631,170
8250,2969,172
8260,3227,207
8270,2834,190
8280,2745,178
8290,3257,189
8300,3125,156
8310,3096,211
8320,3236,192
8330,2927,174
8340,3001,183
8350,2826,169
8360,3362,198
8370,2977,160
8380,2830,177
8390,3396,212
8400,3322,190
8410,3442,202
8420,2839,186
8430,2956,202
8440,2594,180
8450,3593,190
8460,3248,190
8470,3312,187
8480,2939,168
8490,3398,206
8500,3667,197
8510,3569,130
8520,3135,178
8530,3359,199
8540,3303,230
8550,3081,167
8560,3332,216
8570,3228,222
8580,3072,201
8590,3500,195
8600,3094,179
8610,2981,170
8620,3090,163
8630,3023,177
8640,3091,165
8650,3199,216
8660,3202,175
8670,3510,206
8680,3423,193
8690,3382,254
8700,3337,182
8710,3289,229
8720,2860,191
8730,3429,159
8740,2885,142
8750,3041,260
8760,2856,166
8770,3179,174
8780,3443,174
8790,3141,195
8800,3417,186
8810,2788,185
8820,3410,199
8830,3070,170
8840,3031,194
8850,3237,219
8860,3377,207
8870,3442,188
8880,3475,185
8890,3479,224
8900,3404,223
8910,3379,200
8920,3135,197
8930,3257,190
8940,3246,203
8950,3260,167
8960,3245,186
8970,3220,185
8980,2997,186
8990,3662,212
9000,2678,170
9010,3061,162
9020,3039,202
9030,3450,199
9040,3663,235
9050,2795,208
9060,3516,216
9070,3365,227
9080,3200,174
9090,3383,204
9100,3329,212
9110,3138,196
9120,3205,187
9130,3671,344
9140,2975,209
9150,3135,135
9160,3315,194
9170,3506,204
9180,2927,179
9190,3465,220
9200,3236,230
9210,2835,185
9220,2846,225
9230,3263,222
9240,3422,224
9250,3462,217
9260,3435,219
9270,2603,166
9280,2722,167
9290,2743,169
9300,3594,227
9310,3327,228
9320,3617,223
9330,3681,215
9340,3289,203
9350,2657,194
9360,3030,218
9370,3347,234
9380,3399,215
9390,3352,212
9400,3913,222
9410,3405,223
9420,2780,211
9430,3690,259
9440,3369,260
9450,3788,223
9460,3196,240
9470,3503,220
9480,3379,206
9490,2984,226
9500,2780,228
9510,2761,237
9520,3707,183
9530,3411,179
9540,3766,246
9550,3417,258
9560,3489,258
9570,3187,168
9580,2884,209
9590,3361,251
9600,3667,224
9610,3205,219
9620,3213,233
9630,3807,246
9640,3316,224
9650,3501,279
9660,3261,189
9670,3701,228
9680,3507,188
9690,2956,211
9700,3099,205
9710,3237,186
9720,3722,273
9730,3450,198
9740,3591,196
9750,3724,211
9760,3735,197
9770,3509,224
9780,3590,234
9790,3182,192
9800,3226,200
9810,3431,199
9820,3714,149
9830,3652,221
9840,3449,202
9850,3677,212
9860,3533,216
9870,3456,189
9880,2885,214
9890,3775,196
9900,3589,210
9910,3385,213
9920,3764,251
9930,3554,235
9940,3786,224
9950,3868,228
9960,4015,234
9970,3372,229
9980,3775,248
9990,3600,222
10000,3491,228
10010,3400,217
10020,2859,219
10030,3827,248
10040,3904,249
10050,3524,197
10060,3086,318
10070,3695,200
10080,3601,237
10090,3914,198
10100,3493,228
10110,3513,234
10120,3696,234
10130,3378,233
10140,3411,217
10150,3639,177
10160,3922,258
10170,3529,179
10180,3272,175
10190,3266,190
10200,3462,201
10210,3907,228
10220,3401,177
10230,3512,245
10240,3449,248
10250,3009,219
10260,4106,150
10270,3485,189
10280,3976,235
10290,3394,202
10300,3373,178
10310,3445,194
10320,3788,221
10330,3031,239
10340,3726,236
10350,3927,235
10360,3672,244
10370,3586,200
10380,3551,216
10390,3099,221
10400,4116,248
10410,3581,150
10420,3900,171
10430,4080,217
10440,4338,194
