object_counts,physics_update_elapsed_time,render_elapsed_time
4240,3535,175
4250,3502,174
4260,3375,172
4270,3506,167
4280,3379,157
4290,3472,192
4300,3486,187
4310,3456,204
4320,3379,186
4330,3388,184
4340,3538,192
4350,3510,212
4360,3546,194
4370,3504,164
4380,3493,168
4390,3280,140
4400,3383,162
4410,3416,154
4420,3500,172
4430,3519,154
4440,3484,167
4450,3571,159
4460,3517,158
4470,3376,189
4480,3532,190
4490,3511,185
4500,3481,175
4510,3571,177
4520,3594,162
4530,3504,219
4540,3395,167
4550,3540,282
4560,3478,255
4570,3965,141
4580,3636,269
4590,3532,336
4600,3551,186
4610,4069,171
4620,3718,209
4630,3567,185
4640,3991,161
4650,3769,157
4660,4108,219
4670,3829,190
4680,3874,182
4690,3782,191
4700,3740,177
4710,4075,322
4720,4177,198
4730,3821,204
4740,4044,172
4750,4294,371
4760,4316,246
4770,3962,176
4780,4165,237
4790,4334,349
4800,4336,222
4810,3979,212
4820,4230,251
4830,4250,317
4840,4324,217
4850,3826,185
4860,4170,195
4870,4287,271
4880,3932,215
4890,4239,329
4900,3934,205
4910,4166,241
4920,3777,193
4930,4286,218
4940,3953,226
4950,4237,219
4960,4406,225
4970,4342,226
4980,4012,197
4990,4278,220
5000,4416,343
5010,4357,312
5020,4410,284
5030,4319,291
5040,4402,163
5050,4437,297
5060,4347,168
5070,3938,186
5080,5121,255
5090,3702,231
5100,5157,235
5110,4035,191
5120,4337,192
5130,4516,310
5140,4141,183
5150,4319,200
5160,4478,246
5170,4364,215
5180,4385,269
5190,4373,203
5200,4491,238
5210,4442,174
5220,4441,188
5230,4346,169
5240,3927,188
5250,3761,228
5260,3775,248
5270,4482,213
5280,4370,209
5290,4506,206
5300,4501,182
5310,4532,194
5320,4499,191
5330,4483,192
5340,4500,214
5350,4462,209
5360,4460,213
5370,4296,194
5380,4433,161
5390,4410,164
5400,4547,217
5410,4544,221
5420,4440,204
5430,4462,211
5440,4324,215
5450,4342,214
5460,4687,214
5470,4511,202
5480,4496,220
5490,4500,215
5500,4427,219
5510,4557,216
5520,4392,193
5530,4445,198
5540,4307,175
5550,4328,238
5560,4449,198
5570,4477,227
5580,4500,220
5590,4540,222
5600,4488,234
5610,4480,273
5620,4925,232
5630,4679,229
5640,4669,215
5650,5039,245
5660,4712,227
5670,4568,236
5680,4547,223
5690,4437,204
5700,4544,203
5710,4921,189
5720,4762,315
5730,5043,212
5740,4706,180
5750,4634,336
5760,4953,206
5770,5869,315
5780,4280,293
5790,4953,209
5800,4744,318
5810,4410,238
5820,5115,229
5830,4842,364
5840,4303,280
5850,5183,221
5860,4723,221
5870,4985,217
5880,4884,278
5890,5099,224
5900,4803,230
5910,4728,248
5920,5144,251
5930,4750,303
5940,5157,232
5950,4817,286
5960,5168,280
5970,5234,238
5980,4769,241
5990,5159,239
6000,4825,253
6010,5112,229
6020,4761,237
6030,5579,308
6040,5147,262
6050,4763,225
6060,5283,223
6070,4891,204
6080,5325,261
6090,5012,219
6100,5335,240
6110,4949,216
6120,5271,233
6130,5407,322
6140,5383,331
6150,5382,268
6160,5376,300
6170,5519,277
6180,5395,280
6190,5462,235
6200,5402,226
6210,5414,230
6220,5358,197
6230,5248,229
6240,5418,244
6250,5526,251
6260,5434,264
6270,5238,225
6280,5315,273
6290,5477,266
6300,5545,250
6310,5453,262
6320,5334,274
6330,5427,236
6340,5369,258
6350,5273,232
6360,5551,255
6370,5424,241
6380,5448,241
6390,5428,231
6400,5506,212
6410,5000,261
6420,5669,211
6430,5625,247
6440,5656,225
6450,5543,252
6460,5451,266
6470,5511,257
6480,5402,209
6490,5624,286
6500,5424,225
6510,5502,277
6520,5889,268
6530,6505,332
6540,5703,257
6550,5186,247
6560,5779,269
6570,5907,233
6580,5794,288
6590,5646,275
6600,6060,236
6610,5665,252
6620,5539,247
6630,5449,236
6640,5493,259
6650,5914,261
6660,5662,235
6670,5588,240
6680,6010,260
6690,5710,243
6700,6036,260
6710,5720,250
6720,5589,254
6730,5608,339
6740,6040,245
6750,5654,254
6760,5998,261
6770,5729,242
6780,5570,262
6790,6095,240
6800,5846,248
6810,6112,249
6820,5818,311
6830,6062,240
6840,6199,243
6850,5857,347
6860,5972,257
6870,5781,286
6880,6141,261
6890,5707,244
6900,6071,238
6910,6848,249
6920,6210,254
6930,5975,250
6940,6144,242
6950,5928,380
6960,6217,251
6970,5920,284
6980,6185,280
6990,6393,279
7000,6466,263
7010,6425,246
7020,6581,270
7030,6523,247
7040,6460,339
7050,6323,375
7060,6280,396
7070,6395,303
7080,6257,381
7090,6130,251
7100,6496,275
7110,6439,251
7120,6461,249
7130,7824,321
7140,6234,251
7150,6249,337
7160,6290,270
7170,5994,249
7180,6713,239
7190,6345,302
7200,6308,222
7210,6284,238
7220,6278,244
7230,6574,268
7240,6472,254
7250,6460,233
7260,6267,252
7270,6271,238
7280,6238,229
7290,6487,278
7300,6562,260
7310,6596,224
7320,6648,329
7330,6391,251
7340,6233,213
7350,6431,228
7360,6643,300
7370,6495,234
7380,6646,225
7390,6401,271
7400,6191,232
7410,6409,231
7420,6826,264
7430,6475,237
7440,6385,227
7450,6409,227
7460,6806,321
7470,6645,252
7480,6834,254
7490,6571,236
7500,6908,243
7510,7093,236
7520,6747,248
7530,6931,281
7540,6510,240
7550,6763,251
7560,6677,230
7570,7022,239
7580,6711,240
7590,6909,234
7600,7113,319
7610,6581,233
7620,6836,243
7630,7074,242
7640,6566,285
7650,6860,245
7660,6723,289
7670,8039,259
7680,6849,262
7690,6563,271
7700,6808,244
7710,6723,238
7720,7025,247
7730,6716,251
7740,7127,255
7750,7180,241
7760,6852,222
7770,6989,241
7780,7021,238
7790,6692,243
7800,7003,233
7810,7144,268
7820,6735,272
7830,7035,234
7840,7078,242
7850,7131,275
7860,7099,266
7870,7160,252
7880,6853,251
7890,7067,257
7900,7288,250
7910,7231,232
7920,7286,231
7930,6848,277
7940,6571,261
7950,7384,252
7960,7269,245
7970,7302,248
7980,7360,250
7990,7403,256
8000,7241,255
8010,7247,244
8020,7291,262
8030,7314,260
8040,7211,244
8050,7403,258
8060,7441,253
8070,7253,244
8080,7353,271
8090,7267,260
8100,7234,259
8110,7334,246
8120,7231,244
8130,7224,249
8140,7286,233
8150,7359,264
8160,7246,274
8170,7195,243
8180,7304,250
8190,7300,243
8200,7460,276
8210,7078,255
8220,7294,252
8230,7393,262
8240,7268,306
8250,7278,252
8260,7366,285
8270,7223,269
8280,7249,340
8290,7331,260
8300,7346,271
8310,7325,250
8320,7261,250
8330,7453,253
8340,7456,286
8350,7768,348
8360,7405,250
8370,7789,280
8380,7539,287
8390,7911,260
8400,7605,277
8410,7559,255
8420,7399,282
8430,7732,251
8440,7638,258
8450,7461,255
8460,7411,262
8470,7776,254
8480,7635,242
8490,7880,239
8500,7555,277
8510,7428,265
8520,7736,255
8530,7446,265
8540,7659,341
8550,7736,269
8560,7543,259
8570,7307,276
8580,7982,267
8590,7695,256
8600,8088,261
8610,7617,258
8620,7878,273
8630,7510,264
8640,7899,257
8650,7950,263
8660,8042,269
8670,7727,254
8680,7941,256
8690,8046,271
8700,8039,280
8710,8195,298
8720,7657,268
8730,8076,213
8740,8118,273
8750,7870,415
8760,7916,278
8770,7974,212
8780,8097,287
8790,7553,266
8800,8048,276
8810,7596,279
8820,7986,287
8830,8034,270
8840,7705,267
8850,7891,267
8860,7967,275
8870,7652,262
8880,8034,375
8890,8043,264
8900,7804,256
8910,8021,298
8920,8035,286
8930,7791,301
8940,7828,302
8950,8033,284
8960,8184,278
8970,8293,269
8980,8393,273
8990,8346,280
9000,8423,271
9010,7991,298
9020,8617,340
9030,8368,302
9040,8566,324
9050,8118,289
9060,8191,288
9070,8096,255
9080,8236,272
9090,8181,294
9100,8271,285
9110,8141,297
9120,8193,276
9130,7561,281
9140,8066,309
9150,8106,294
9160,8253,309
9170,8247,270
9180,8287,275
9190,8082,289
9200,8126,250
9210,7759,303
9220,7854,257
9230,8268,267
9240,7788,257
9250,8199,258
9260,9928,371
9270,8355,293
9280,8838,300
9290,8010,240
9300,8277,291
9310,8290,315
9320,8919,303
9330,8603,289
9340,8855,299
9350,8853,295
9360,8586,309
9370,8489,315
9380,8797,294
9390,8905,308
9400,8578,314
9410,8853,313
9420,8541,322
9430,8799,309
9440,8514,315
9450,8791,321
9460,8587,319
9470,8416,320
9480,8744,322
9490,8501,326
9500,8745,323
9510,8514,331
9520,8591,329
9530,8290,336
9540,8794,309
9550,8358,278
9560,8663,308
9570,8547,305
9580,8391,306
9590,8525,322
9600,8918,306
9610,8566,318
9620,8929,319
9630,8580,314
9640,8946,323
9650,8963,336
9660,8952,326
9670,9080,326
9680,8728,321
9690,8723,321
9700,9007,341
9710,8987,338
9720,8991,330
9730,8341,324
9740,8557,298
9750,9004,262
9760,9011,288
9770,9017,298
9780,8679,298
9790,8957,290
9800,9117,283
9810,8639,285
9820,8886,381
9830,8495,310
9840,9069,290
9850,9165,292
9860,9212,290
9870,8763,283
9880,9008,302
9890,9183,285
9900,8787,293
9910,11373,410
9920,9227,289
9930,9156,287
9940,8630,275
9950,9015,307
9960,9269,277
9970,8778,297
9980,9079,297
9990,9165,315
10000,9198,285
10010,9404,285
10020,9183,300
10030,9240,288
10040,9323,290
10050,9246,298
10060,8984,304
10070,9239,280
10080,9220,285
10090,9262,301
10100,9264,291
10110,9449,270
10120,9330,306
10130,9460,287
10140,9357,295
10150,9191,301
10160,9268,313
10170,9438,265
10180,9263,326
10190,9025,322
10200,9021,314
10210,9359,331
10220,9235,296
10230,9147,297
10240,9589,328
10250,9393,299
10260,9708,303
10270,9357,298
10280,9090,294
10290,9389,295
10300,9221,305
10310,9238,287
10320,9450,290
10330,9290,286
10340,9303,287
10350,9579,301
10360,9441,306
10370,9228,338
10380,9221,308
10390,9227,279
10400,9408,311
10410,9818,301
10420,9876,306
10430,9477,298
10440,9332,307
10450,9862,297
10460,9472,309
10470,9775,309
10480,9541,280
10490,9458,280
10500,9834,307
10510,9540,308
10520,9758,321
10530,9388,301
10540,9695,311
10550,9493,283
10560,12117,398
10570,9192,296
10580,9533,337
10590,9968,300
10600,9595,310
10610,12258,417
10620,9812,306
10630,10071,297
10640,12334,403
10650,10235,312
10660,10222,312
10670,9645,306
10680,9974,306
10690,10265,304
10700,10151,320
10710,10088,299
10720,9876,311
10730,9964,310
10740,10121,312
10750,9841,309
10760,9876,306
10770,10169,308
10780,9616,309
10790,9825,315
10800,9623,341
10810,9865,314
10820,9149,328
10830,9574,306
10840,9967,299
10850,9561,304
10860,9858,321
10870,9618,301
10880,9303,316
10890,10110,265
10900,10090,311
10910,9644,308
10920,10149,307
10930,10073,315
10940,10157,310
10950,9699,308
10960,10147,323
10970,12154,316
10980,10299,313
10990,10279,315
11000,10301,316
11010,10206,314
11020,10282,316
11030,10120,321
11040,10225,317
11050,10300,314
11060,10328,321
11070,10311,321
11080,10232,310
11090,10406,340
11100,10678,324
11110,10289,353
11120,10081,315
11130,10558,330
11140,10324,326
11150,10279,305
11160,10308,309
11170,10417,323
11180,10232,315
11190,10138,315
11200,10552,309
11210,10359,320
11220,10274,319
11230,10251,310
11240,10090,321
11250,10138,318
11260,10233,319
11270,10286,315
11280,10542,329
11290,10166,334
11300,10181,348
11310,10194,325
11320,10270,314
11330,10110,348
11340,10237,323
11350,10280,327
11360,10264,315
11370,10308,326
11380,10270,325
11390,10246,326
11400,10281,317
11410,10608,342
11420,10806,342
11430,10698,333
11440,10336,302
11450,10909,298
11460,10668,307
11470,11065,317
11480,10468,325
11490,10957,335
11500,10873,338
11510,10571,317
11520,12909,315
11530,10674,327
11540,10853,321
11550,10429,314
11560,10902,332
11570,10868,340
11580,10458,328
11590,10869,319
11600,10482,328
11610,10926,318
11620,12917,333
11630,10662,328
11640,10489,331
11650,10946,327
11660,10470,329
11670,10839,330
11680,10676,331
11690,10862,327
11700,10637,338
11710,10713,329
11720,11100,328
11730,10746,345
11740,10800,331
11750,11021,320
11760,10797,322
11770,10816,338
11780,10966,335
11790,10576,333
11800,10995,323
11810,10749,310
11820,10970,355
11830,11256,332
11840,11082,332
11850,11190,367
11860,10956,343
11870,11075,329
11880,11381,331
11890,11212,330
11900,11178,332
11910,11147,346
11920,11201,360
11930,11224,332
11940,13784,451
11950,10862,327
11960,10989,329
11970,11165,344
11980,13377,340
11990,11182,339
12000,11229,327
12010,11421,347
12020,11043,343
12030,10994,335
12040,11271,340
12050,11225,336
12060,11448,344
12070,11248,364
12080,11033,310
12090,11100,337
12100,11322,342
12110,11322,342
12120,11249,350
12130,11098,366
12140,11108,339
12150,11332,375
12160,11285,339
12170,11213,337
12180,11128,354
12190,11155,332
12200,11247,344
12210,11325,348
12220,11072,341
12230,11180,334
12240,11301,334
12250,11332,385
12260,11099,339
12270,11112,288
12280,11204,341
12290,11141,366
12300,11406,346
12310,11257,336
12320,11426,345
12330,11733,344
12340,11307,366
12350,11266,338
12360,11254,344
12370,11403,339
12380,11603,342
12390,11463,344
12400,11247,344
12410,11217,370
12420,14500,458
12430,11007,320
12440,11497,337
12450,11371,338
12460,11391,353
12470,11777,340
12480,11502,349
12490,11848,348
12500,11412,356
12510,11431,345
12520,11793,338
12530,11836,350
12540,11508,372
12550,12039,350
12560,11587,345
12570,11938,345
12580,12034,350
12590,11835,345
12600,11923,356
12610,11945,352
12620,12050,373
12630,11949,346
12640,11591,359
12650,11893,364
12660,11927,365
12670,11975,313
12680,11862,368
12690,11776,364
12700,11990,352
12710,12060,351
12720,12243,349
12730,11907,344
12740,12237,360
12750,12258,328
12760,12208,360
12770,11835,351
12780,12014,350
12790,12167,362
12800,12151,351
12810,12274,359
12820,12205,386
12830,12091,355
12840,12142,357
12850,12097,355
12860,12285,361
12870,12245,347
12880,12307,361
12890,12204,359
12900,12309,409
12910,12343,357
12920,12087,348
12930,12269,354
12940,12200,354
12950,11649,382
12960,12229,361
12970,12292,358
12980,12270,365
12990,12083,355
13000,12235,355
13010,12218,362
13020,12159,365
13030,14578,354
13040,11838,343
13050,12235,389
13060,12193,362
13070,12294,355
13080,12215,354
13090,12142,366
13100,12345,364
13110,12304,306
13120,12337,527
13130,11822,350
13140,11820,357
13150,12493,358
13160,12245,369
13170,12674,365
13180,12460,371
13190,12221,363
13200,12397,347
13210,12640,365
13220,12285,360
13230,12369,382
13240,11875,390
13250,12221,374
13260,12367,374
13270,12331,356
13280,12650,357
13290,12380,358
13300,12259,379
13310,12834,361
13320,12465,372
13330,12877,362
13340,12765,370
13350,12444,363
13360,12874,396
13370,12538,376
13380,12858,371
13390,12425,368
13400,12915,360
13410,12572,370
13420,12941,374
13430,12736,358
13440,12898,380
13450,13028,367
13460,12982,383
13470,12698,392
13480,12769,369
13490,12873,362
13500,13167,373
13510,13132,376
13520,12871,308
13530,12633,374
13540,12809,375
13550,12984,371
13560,12689,366
13570,12677,385
13580,12797,400
13590,13004,360
13600,12692,377
13610,12927,364
13620,13108,374
13630,12789,365
13640,12861,366
13650,12938,382
13660,12526,389
13670,12696,372
13680,12550,359
13690,13106,410
13700,12769,378
13710,13011,364
13720,12848,385
13730,12802,366
13740,12873,314
13750,12584,372
13760,12960,367
13770,13067,370
13780,12683,385
13790,12902,381
13800,13063,372
13810,13284,381
13820,12813,376
13830,12625,364
13840,13153,370
13850,13355,364
13860,13023,385
13870,13382,382
13880,12977,383
13890,13159,384
13900,13216,381
13910,12842,400
13920,13293,339
13930,12894,414
13940,13734,404
13950,16617,402
13960,12870,347
13970,13477,406
13980,12947,384
13990,13470,373
14000,16325,359
14010,12953,377
14020,13426,392
14030,13437,372
14040,12936,373
14050,13065,368
14060,13594,363
14070,13183,372
