object_counts,physics_update_elapsed_time,render_elapsed_time
10,1847,52
20,377,15
30,381,15
40,414,21
50,402,19
60,368,72
70,355,68
80,415,83
90,346,76
100,356,77
110,432,86
120,436,65
130,365,77
140,390,91
150,392,102
160,387,97
170,387,92
180,396,92
190,505,102
200,355,87
210,642,94
220,496,79
230,469,92
240,367,107
250,390,107
260,447,79
270,505,71
280,499,73
290,368,95
300,413,90
310,421,101
320,367,81
330,371,88
340,496,68
350,454,107
360,392,89
370,428,83
380,428,82
390,377,94
400,552,82
410,372,83
420,500,83
430,376,98
440,390,85
450,382,78
460,421,78
470,523,98
480,512,87
490,396,97
500,525,73
510,566,98
520,544,96
530,398,76
540,591,67
550,640,76
560,528,82
570,468,94
580,480,218
590,485,76
600,522,75
610,520,70
620,483,87
630,553,83
640,759,72
650,565,70
660,668,84
670,609,133
680,694,103
690,678,81
700,623,80
710,564,70
720,644,55
730,553,82
740,637,72
750,650,82
760,576,90
770,604,122
780,709,101
790,777,99
800,693,74
810,650,81
820,590,56
830,752,68
840,708,66
850,763,91
860,759,88
870,616,70
880,634,80
890,603,56
900,608,72
910,896,61
920,755,79
930,715,57
940,768,76
950,636,73
960,864,84
970,776,74
980,927,78
990,948,72
1000,707,77
1010,689,69
1020,803,73
1030,837,78
1040,922,81
1050,923,84
1060,792,107
1070,844,97
1080,1018,87
1090,737,65
1100,900,87
1110,762,93
1120,904,77
1130,842,89
1140,948,68
1150,876,107
1160,1149,218
1170,988,102
1180,800,77
1190,787,71
1200,834,109
1210,1012,59
1220,822,52
1230,843,124
1240,1026,78
1250,1203,84
1260,871,76
1270,987,74
1280,1073,83
1290,824,78
1300,875,73
1310,1131,77
1320,849,62
1330,813,65
1340,1196,72
1350,902,85
1360,920,99
1370,940,114
1380,1175,58
1390,1146,95
1400,1175,112
1410,1141,101
1420,1145,107
1430,1068,57
1440,1078,97
1450,1022,100
1460,870,96
1470,930,71
1480,1083,78
1490,1107,70
1500,1137,92
1510,976,96
1520,982,86
1530,936,54
1540,972,100
1550,1168,89
1560,1120,104
1570,1190,88
1580,1199,77
1590,1327,95
1600,1242,85
1610,1014,58
1620,1069,80
1630,1349,90
1640,1208,85
1650,1253,87
1660,1196,107
1670,1339,78
1680,1045,99
1690,1184,107
1700,1232,87
1710,1199,95
