object_counts,physics_update_elapsed_time,render_elapsed_time
10,2950,58
20,389,15
30,706,19
40,458,25
50,430,24
60,395,110
70,444,160
80,407,82
90,411,94
100,421,83
110,452,84
120,455,107
130,449,99
140,418,94
150,417,97
160,436,88
170,432,161
180,446,152
190,445,145
200,457,100
210,531,107
220,429,70
230,471,84
240,511,104
250,434,85
260,438,64
270,473,76
280,453,79
290,440,75
300,532,74
310,424,84
320,451,61
330,428,72
340,442,80
350,441,87
360,432,65
370,440,71
380,454,71
390,462,60
400,462,68
410,442,82
420,474,78
430,436,62
440,436,69
450,470,73
460,474,68
470,462,84
480,434,71
490,466,75
500,471,76
510,446,69
520,484,98
530,491,81
540,483,71
550,498,81
560,522,105
570,532,64
580,536,227
590,576,98
600,541,92
610,604,62
620,571,49
630,663,54
640,570,64
650,585,113
660,655,54
670,612,70
680,605,74
690,641,58
700,648,58
710,687,75
720,667,68
730,689,56
740,664,80
750,648,56
760,730,59
770,684,58
780,710,91
790,723,61
800,752,89
810,744,58
820,765,67
830,728,76
840,745,89
850,762,99
860,740,72
870,787,64
880,824,63
890,811,60
900,798,75
910,730,77
920,786,53
930,795,49
940,845,53
950,825,105
960,827,102
970,824,92
980,815,102
990,897,106
1000,879,108
1010,843,101
1020,880,82
1030,895,92
1040,883,72
1050,864,64
1060,865,63
1070,851,66
1080,906,83
1090,952,97
1100,941,75
1110,922,74
1120,951,77
1130,949,76
1140,995,75
1150,977,94
1160,899,92
1170,982,76
1180,1003,73
1190,1023,59
1200,992,57
1210,986,69
1220,1019,82
1230,1085,63
1240,1002,158
1250,1022,65
1260,1022,69
1270,1051,112
1280,1003,90
1290,1007,82
1300,997,64
1310,1019,64
1320,1035,65
1330,967,81
1340,998,88
1350,1034,82
1360,1045,69
1370,1078,156
1380,1097,68
1390,1094,88
1400,1109,81
1410,1088,75
1420,1153,78
1430,991,64
1440,1047,82
1450,1011,86
1460,1075,81
1470,1031,68
1480,1050,173
1490,1092,79
1500,1098,68
1510,1101,72
1520,1104,99
1530,1080,64
1540,1090,79
1550,1053,69
1560,1124,72
1570,1156,85
1580,1184,90
1590,1189,76
1600,1271,64
1610,1200,64
1620,1214,62
1630,1212,83
1640,1115,73
1650,1145,82
1660,1157,64
1670,1139,69
1680,1114,77
1690,1110,69
1700,1137,69
1710,1164,105
1720,1120,93
1730,1186,147
1740,1129,86
1750,1163,78
1760,1111,76
1770,1117,91
1780,1158,84
1790,1132,68
1800,1214,69
1810,1183,71
1820,1218,92
1830,1219,94
1840,1205,81
1850,1186,65
1860,1212,70
1870,1263,82
1880,1189,71
1890,1110,106
1900,1180,95
1910,1120,73
1920,1163,68
1930,1151,91
1940,1169,82
1950,1156,99
1960,1105,82
1970,1133,89
1980,1187,86
1990,1233,72
2000,1191,76
2010,1237,112
2020,1258,78
2030,1255,78
2040,1187,74
2050,1196,71
2060,1275,70
2070,1190,152
2080,1225,106
2090,1240,74
2100,1304,93
2110,1243,69
2120,1216,74
2130,1207,72
2140,1222,92
2150,1308,72
2160,1255,77
2170,1267,86
2180,1215,76
2190,1259,77
2200,1239,104
2210,1354,76
2220,1232,74
2230,1253,88
2240,1227,114
2250,1226,121
2260,1203,124
2270,1278,118
2280,1285,79
2290,1293,74
2300,1248,87
2310,1282,79
2320,1341,122
2330,1266,92
2340,1254,84
2350,1259,76
2360,1245,87
2370,1233,69
2380,1208,109
2390,1226,203
2400,1209,79
2410,1205,75
2420,1234,80
2430,1230,88
2440,1264,106
2450,1498,78
2460,1292,96
2470,1220,102
2480,1260,107
2490,1233,101
2500,1207,116
2510,1191,86
2520,1198,93
2530,1282,90
2540,1511,77
2550,1287,78
2560,1350,107
2570,1285,87
2580,1346,82
2590,1319,82
2600,1351,156
2610,1319,90
2620,1341,106
2630,1289,79
2640,1259,84
2650,1245,83
2660,1321,97
2670,1313,78
2680,1325,184
2690,1272,85
2700,1246,77
2710,1244,77
2720,1217,89
2730,1234,89
2740,1465,108
2750,1235,224
2760,1256,82
2770,1268,88
2780,1324,82
2790,1297,85
2800,1316,78
2810,1255,90
2820,1279,88
2830,1349,77
2840,1414,82
2850,1305,75
2860,1351,98
2870,1353,111
2880,1263,87
2890,1233,81
2900,1268,82
2910,1258,84
2920,1271,84
2930,1277,83
2940,1297,86
2950,1370,90
2960,1433,86
2970,1432,83
2980,36478,139
2990,1554,239
3000,1364,106
3010,1329,107
3020,4205,132
3030,5725,128
3040,1318,119
3050,1749,147
3060,1321,130
3070,1369,128
3080,1471,137
3090,1467,178
3100,1356,132
3110,1386,96
3120,1303,92
3130,1331,85
3140,1277,80
3150,1296,97
3160,1409,86
3170,1343,78
3180,1336,99
3190,1348,91
3200,1516,82
3210,1444,122
3220,1459,103
3230,1447,94
3240,1420,82
3250,1588,77
3260,1670,113
3270,1393,87
3280,1547,102
3290,1330,83
3300,1375,88
3310,1503,85
3320,1322,82
3330,1383,81
3340,1369,90
3350,1366,90
3360,1374,86
3370,1335,86
3380,1303,89
3390,1306,88
3400,1319,82
3410,1368,86
3420,1355,109
3430,1381,88
3440,1431,81
3450,1394,86
3460,1365,82
3470,1317,126
3480,1325,137
3490,1358,136
3500,1329,128
3510,1344,98
3520,1371,90
3530,1308,100
3540,1334,105
3550,1379,90
3560,1415,112
3570,1340,89
3580,1402,83
3590,1341,88
3600,1360,99
3610,1415,96
3620,1478,82
3630,1382,84
3640,1629,88
3650,1383,87
3660,1372,139
3670,1417,126
3680,1466,115
3690,1411,100
