object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
20,1734.66,1999,2687
40,358.4,571,16
60,594.944,939,67
80,387.04,631,114
100,375.808,601,116
120,392.192,610,129
140,356.352,565,110
160,425.984,665,121
180,620.608,1230,105
200,577.536,1043,95
220,580.768,1047,102
240,581.632,1028,143
260,355.328,605,113
280,585.728,1018,105
300,574.464,1035,97
320,568.192,1013,97
340,582.656,1095,108
360,621.568,1118,89
380,572.448,1041,89
400,374.784,621,111
420,575.392,1051,89
440,569.344,1008,89
460,577.472,1185,104
480,362.496,616,97
500,317.44,560,108
520,609.28,1097,83
540,333.824,585,115
560,600.064,1022,85
580,726.016,1227,96
600,685.056,1203,103
620,453.632,922,109
640,348.16,634,110
660,322.56,554,123
680,471.04,727,186
700,678.912,1274,115
720,616.448,850,128
740,662.528,964,112
760,346.112,598,129
780,610.304,1301,106
800,617.472,1543,105
820,711.68,1369,106
840,603.136,1294,370
860,670.72,1178,109
880,553.984,784,110
900,641.024,1113,90
920,331.776,589,116
940,414.72,707,164
960,609.216,1193,88
980,687.168,1122,99
1000,726.016,1217,94
1020,694.272,1147,97
1040,622.592,1098,131
1060,660.48,1164,504
1080,631.776,1094,96
1100,707.584,1263,86
1120,720.896,1166,105
1140,690.176,1151,89
1160,798.72,1291,97
1180,659.456,1231,102
1200,791.552,1291,92
1220,267.264,536,92
1240,654.336,1080,79
1260,771.008,1241,97
1280,788.352,1299,110
1300,725.984,1192,109
1320,913.408,1418,94
1340,993.28,1441,86
1360,754.688,1226,97
1380,841.728,1322,126
1400,815.104,1317,151
1420,929.664,1390,100
1440,805.888,1260,95
1460,927.68,1378,87
1480,876.544,1390,109
1500,885.76,1357,83
1520,825.344,1392,96
1540,823.328,1380,156
1560,722.944,1182,92
1580,773.12,1231,101
1600,913.408,1362,93
1620,889.984,1345,87
1640,942.08,1387,95
1660,958.464,1446,117
1680,819.264,1290,114
1700,818.176,1263,114
1720,769.024,1291,81
1740,773.12,1345,110
1760,965.632,1509,90
1780,306.176,567,115
1800,812.032,1255,96
1820,780.288,1251,105
1840,797.696,1266,98
1860,775.168,1249,85
1880,763.904,1245,106
1900,766.976,1259,111
1920,726.016,1367,162
1940,715.776,1264,103
1960,1032.19,1596,143
1980,722.944,1166,94
2000,728.064,1216,117
2020,724.992,1190,194
2040,750.656,1206,100
2060,800.768,1268,93
2080,522.208,1000,201
2100,744.448,1251,123
2120,734.208,1201,116
2140,924.672,1484,129
2160,723.968,1188,106
2180,734.208,1209,121
2200,862.208,1481,177
2220,724.992,1190,86
2240,732.16,1205,107
2260,730.112,1329,123
2280,733.184,1193,140
2300,726.048,1176,90
2320,782.336,1342,185
2340,738.304,1340,116
2360,307.136,567,100
2380,734.336,1246,119
2400,728.192,1240,239
2420,728.064,1203,98
2440,826.368,1309,106
2460,731.168,1314,118
2480,737.28,1221,99
2500,740.256,1250,129
2520,719.84,1207,169
2540,837.632,1356,194
2560,659.456,1125,113
2580,651.264,1219,108
2600,736.256,1263,106
2620,675.84,1148,122
2640,778.24,1282,103
2660,739.424,1284,100
2680,681.984,1183,174
2700,324.608,602,109
2720,551.936,1049,147
2740,452.608,959,176
2760,448.512,939,110
2780,509.952,1035,202
2800,488.448,992,109
2820,828.416,1369,128
2840,470.016,929,121
2860,674.816,1201,200
2880,451.584,917,121
2900,472.064,959,107
2920,472.064,950,110
2940,451.584,938,99
2960,665.6,1148,114
2980,501.76,991,131
3000,444.416,938,105
3020,445.44,924,183
3040,507.904,955,96
3060,442.208,924,164
3080,453.632,953,112
3100,410.624,883,119
3120,498.688,993,113
3140,463.872,1116,134
3160,475.136,975,181
3180,484.352,963,102
3200,474.112,952,103
3220,455.68,952,137
3240,444.416,939,118
3260,549.888,1039,104
3280,449.504,938,118
3300,365.568,655,181
3320,464.896,954,113
3340,416.768,912,118
3360,560.128,1099,129
3380,478.208,962,116
3400,477.184,956,102
3420,471.04,948,105
3440,459.776,941,113
3460,454.656,911,127
3480,460.8,955,114
3500,488.448,1058,187
3520,544.768,1045,106
3540,527.36,1085,119
3560,529.408,1017,108
3580,557.056,1162,143
3600,533.504,1035,118
3620,544.768,1059,123
3640,498.688,974,184
3660,501.6,1002,120
3680,498.688,983,175
3700,495.616,989,114
3720,496.64,984,172
3740,501.76,1052,121
3760,498.592,994,150
3780,496.64,963,103
3800,487.424,976,184
3820,493.568,950,112
3840,471.04,973,127
3860,460.8,1058,131
3880,474.112,1061,228
3900,529.408,1070,154
3920,453.632,932,183
3940,487.424,1000,103
3960,495.616,993,210
3980,491.52,765,115
4000,536.576,1027,120
4020,520.192,1008,116
4040,521.216,999,127
4060,529.408,1120,128
4080,515.072,1006,183
4100,519.168,1015,115
4120,515.072,1016,125
4140,492.544,963,117
4160,472.064,732,118
4180,515.072,987,109
4200,506.88,809,140
4220,494.592,755,152
4240,520.16,1031,123
4260,526.336,1020,123
4280,507.904,1014,129
4300,521.216,1126,123
4320,525.312,997,113
4340,494.592,1130,130
4360,494.592,982,207
4380,481.28,967,119
4400,513.024,1001,201
4420,491.52,765,135
4440,520.128,802,131
4460,590.848,1088,110
4480,542.72,1072,110
4500,519.104,1004,135
4520,528.384,1002,130
4540,518.144,980,147
4560,618.496,1185,159
4580,521.216,1079,158
4600,549.888,1073,144
4620,538.624,1081,148
4640,563.2,1059,147
4660,517.12,1031,141
4680,519.168,1034,149
4700,651.264,1135,116
4720,543.744,1036,201
4740,565.184,1081,147
4760,553.984,1158,138
4780,569.248,1070,130
4800,566.272,1078,160
4820,570.368,1079,220
4840,527.36,1018,121
4860,543.744,1139,130
4880,525.312,1068,143
4900,522.24,1003,124
4920,539.584,1035,177
4940,556.032,1084,136
4960,594.88,1066,131
4980,564.224,1070,120
5000,507.904,815,156
5020,555.008,1091,152
5040,517.12,781,171
5060,508.928,797,161
5080,580.608,1141,153
5100,538.624,1036,171
5120,552.96,1048,116
5140,544.768,1034,133
5160,567.296,1072,147
5180,574.464,1070,145
5200,553.984,1048,271
5220,573.44,1072,129
5240,586.752,1081,161
5260,576.512,1086,131
5280,533.504,826,149
5300,545.792,815,154
5320,556.032,1067,145
5340,558.08,1061,123
5360,533.504,806,187
5380,525.312,1024,140
5400,538.624,1028,150
5420,533.504,1017,120
5440,573.44,1173,142
5460,614.4,1108,140
5480,654.336,1187,136
5500,541.6,810,152
5520,576.512,1187,148
5540,558.08,1061,135
5560,566.208,1086,141
