object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
20,2072.58,2365,2536
40,483.328,817,48
60,624.64,895,156
80,371.68,636,114
100,561.152,1165,87
120,393.152,647,135
140,395.232,665,115
160,705.536,1162,101
180,567.296,1029,97
200,652.288,1139,101
220,375.808,628,117
240,429.984,698,205
260,561.12,1030,98
280,307.2,558,109
300,569.312,1009,93
320,310.144,587,96
340,343.04,583,101
360,602.144,1269,95
380,599.04,1045,98
400,567.232,1005,104
420,599.168,1080,82
440,564.224,1005,90
460,569.44,1020,94
480,568.32,1036,99
500,565.248,1126,92
520,686.08,1132,85
540,369.664,608,108
560,417.792,660,109
580,425.952,675,127
600,330.752,565,130
620,376.8,709,105
640,713.728,1348,104
660,611.232,1296,101
680,403.456,655,122
700,396.288,638,134
720,480.256,758,117
740,468.992,726,138
760,644.096,1251,112
780,695.296,1295,105
800,379.904,620,120
820,599.04,1215,93
840,600,1240,310
860,596.992,1022,94
880,613.376,1079,103
900,402.432,667,127
920,308.224,569,102
940,271.36,707,91
960,348.16,606,127
980,707.552,1412,98
1000,481.28,936,110
1020,566.208,1086,109
1040,600.064,1084,111
1060,563.2,1015,88
1080,566.272,1014,103
1100,568.192,1024,89
1120,317.44,603,84
1140,580.608,1029,94
1160,574.464,1058,108
1180,385.024,642,127
1200,438.24,701,127
1220,634.88,1101,106
1240,394.24,636,122
1260,663.552,1128,99
1280,592.896,1055,85
1300,555.008,1067,143
1320,596.992,1063,114
1340,625.664,1107,95
1360,598.016,1051,101
1380,594.944,1037,84
1400,360.288,616,109
1420,362.496,607,91
1440,567.296,1193,115
1460,567.296,1027,94
1480,568.32,1153,96
1500,563.2,1006,88
1520,283.648,604,147
1540,563.136,1009,125
1560,567.296,1054,118
1580,561.152,1019,100
1600,565.248,1114,98
1620,604.16,1088,103
1640,560.16,1121,77
1660,619.52,1208,108
1680,387.968,682,105
1700,814.08,1270,96
1720,676.864,1247,98
1740,630.816,1088,185
1760,296.96,539,94
1780,748.544,1240,101
1800,394.112,665,132
1820,598.016,1062,104
1840,311.168,549,160
1860,395.264,652,107
1880,685.056,1137,104
1900,667.648,1128,112
