object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
20,1900.54,2178,2582
40,294.912,507,23
60,630.784,869,120
80,582.496,1048,96
100,741.504,1226,75
120,643.072,1086,90
140,289.792,525,102
160,608.16,1334,94
180,612.352,1085,102
200,376.832,613,112
220,418.816,853,85
240,611.328,1072,98
260,336.896,618,99
280,339.968,590,111
300,619.52,1072,84
320,594.944,1022,85
340,316.416,565,112
360,599.04,1028,87
380,583.68,1031,90
400,560.096,979,82
420,598.016,1035,86
440,619.52,1053,93
460,562.272,998,85
480,572.416,1029,95
500,579.584,1046,94
520,595.968,1045,91
540,343.936,641,106
560,591.872,1032,77
580,606.208,1349,99
600,709.536,1190,179
620,719.872,1189,163
640,738.304,1182,113
660,672.768,1269,91
680,978.912,1432,89
700,712.704,1199,118
720,402.432,694,111
740,460.8,719,130
760,434.176,974,106
780,636.832,1229,114
800,463.872,1075,114
820,479.232,821,120
840,816.128,1333,472
860,568.32,1053,103
880,431.104,691,127
900,601.088,1094,100
920,559.104,999,90
940,421.888,668,109
960,627.712,1069,99
980,570.368,1031,109
1000,882.688,1352,88
1020,598.016,1149,98
1040,560.128,1009,124
1060,561.312,997,222
1080,474.112,1039,102
1100,318.464,563,114
1120,589.92,1039,82
1140,589.824,1040,79
1160,564.224,1009,90
1180,650.24,1091,82
1200,637.952,1093,92
1220,561.152,1012,85
1240,593.92,1049,94
1260,604.16,1071,111
1280,387.072,655,109
1300,377.856,659,116
1320,397.312,681,107
1340,695.296,1157,102
1360,348.16,588,111
1380,562.176,1035,99
1400,593.92,1042,87
1420,595.808,1045,86
1440,596.992,1047,92
1460,629.76,1194,102
1480,604.16,1068,95
1500,564.224,1015,93
1520,622.592,1059,84
1540,802.816,1332,175
1560,596.896,1189,103
1580,593.952,1030,87
1600,673.792,1284,108
1620,513.024,1072,157
1640,739.328,1194,170
1660,708.608,1189,107
1680,846.848,1325,116
1700,877.536,1383,90
1720,690.176,1330,123
1740,335.872,577,93
1760,665.6,1170,140
1780,748.544,1194,91
1800,880.64,1399,99
1820,796.672,1339,96
1840,825.344,1384,100
1860,813.056,1380,106
1880,805.888,1382,105
1900,807.936,1257,93
1920,792.576,1245,99
1940,883.712,1362,100
1960,803.84,1363,87
1980,796.672,1346,100
2000,808.96,1357,97
2020,812.992,1261,97
2040,756.736,1211,93
2060,807.936,1251,94
2080,655.36,1267,150
2100,827.392,1379,109
2120,843.776,1500,107
2140,756.736,1200,96
2160,367.616,655,115
2180,343.04,628,103
2200,815.104,1263,94
2220,811.008,1255,95
2240,802.816,1253,88
2260,804.8,1278,92
2280,816.128,1297,113
2300,779.2,1350,93
2320,804.864,1331,160
2340,746.496,1303,115
2360,815.104,1274,100
2380,792.576,1270,98
2400,394.24,662,115
