object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
20,1844.06,2138,3064
40,335.872,560,30
60,477.184,774,76
80,398.336,662,116
100,403.552,623,245
120,366.592,610,107
140,345.088,575,114
160,391.168,666,112
180,365.568,626,121
200,690.176,1162,97
220,723.968,1186,87
240,581.632,1139,105
260,563.2,1012,97
280,565.248,1156,105
300,572.416,1069,131
320,534.528,965,98
340,277.504,583,84
360,581.632,1052,95
380,571.328,1013,169
400,568.32,1017,96
420,570.208,997,95
440,566.272,994,98
460,566.272,1121,93
480,572.416,1150,96
500,568.32,1038,89
520,569.344,1020,83
540,302.08,551,112
560,526.336,1028,94
580,570.368,1047,87
600,575.488,1190,91
620,572.416,1034,92
640,775.168,1255,147
660,736.352,1178,82
680,726.016,1205,110
700,288.768,550,135
720,710.656,1157,95
740,385.024,620,112
760,567.296,1025,85
780,505.856,974,95
800,327.68,567,111
820,572.416,1025,105
840,317.44,536,459
860,589.728,1061,97
880,286.688,555,102
900,586.752,1119,90
920,568.32,1014,95
940,391.168,698,112
960,571.296,1006,95
980,415.744,657,119
1000,603.136,1024,110
1020,573.44,1030,102
1040,600.064,1030,104
1060,353.28,575,99
1080,570.368,1017,96
1100,355.168,579,101
1120,573.44,1057,94
1140,565.248,1015,86
1160,625.664,1118,106
1180,439.296,710,123
1200,561.152,1009,84
1220,568.32,1044,91
1240,656.384,1161,93
1260,564.224,1010,165
1280,563.232,1062,107
1300,398.336,666,127
1320,564.224,1015,81
1340,317.44,581,110
1360,567.296,999,81
1380,562.176,1016,95
1400,605.184,1044,94
1420,352.256,592,116
1440,598.016,1062,102
1460,566.272,1013,92
1480,594.944,1200,115
1500,587.776,1073,107
1520,604.16,1065,92
1540,288.768,530,125
1560,572.416,1036,96
1580,283.648,531,91
1600,567.424,1017,94
1620,598.016,1044,88
1640,599.04,1069,100
1660,375.68,640,128
1680,456.704,970,90
1700,598.144,1042,87
1720,580.608,1022,89
1740,592.896,1088,98
1760,614.4,1229,107
1780,440.32,824,97
1800,722.944,1195,105
1820,633.856,1130,111
1840,685.056,1286,125
1860,630.784,1103,113
1880,644.096,1084,83
1900,632.832,1105,125
1920,690.176,1138,92
1940,746.496,1252,104
1960,792.512,1357,107
1980,751.616,1336,99
2000,751.616,1232,102
2020,470.944,851,112
2040,748.544,1300,115
2060,731.136,1211,86
2080,771.072,1318,112
2100,971.776,1424,103
2120,751.616,1214,114
2140,296.928,590,150
2160,809.984,1265,105
2180,773.12,1324,106
2200,811.008,1265,111
2220,786.432,1253,138
2240,838.656,1299,236
2260,435.168,821,100
2280,806.912,1288,108
2300,786.432,1236,95
2320,827.392,1360,166
2340,814.08,1272,112
2360,807.968,1253,125
2380,447.456,900,107
2400,894.976,1407,106
2420,813.952,1411,108
2440,798.72,1351,116
2460,724.992,1388,123
2480,819.2,1453,127
2500,816.128,1298,128
2520,292.864,593,126
2540,386.048,687,124
2560,846.848,1301,114
2580,806.88,1289,103
2600,787.456,1273,120
2620,802.816,1252,111
2640,891.904,1401,121
2660,727.04,1307,118
2680,754.688,1340,101
2700,736.256,1348,115
2720,716.8,1171,183
2740,445.44,842,99
2760,734.144,1204,117
2780,722.944,1199,110
2800,768,1256,112
2820,736.256,1201,97
2840,281.6,555,111
2860,720.896,1252,115
2880,729.088,1186,113
2900,741.376,1232,112
2920,728.928,1354,113
2940,734.208,1313,147
2960,302.08,596,106
2980,313.344,562,122
3000,487.424,980,116
3020,462.848,950,114
3040,500.736,982,104
3060,542.72,1025,105
3080,472.928,925,107
3100,481.28,934,98
3120,530.432,1041,124
3140,458.752,935,111
3160,572.416,1040,197
3180,542.72,1020,102
3200,480.256,954,192
3220,495.616,1020,113
3240,447.488,923,200
3260,466.944,949,96
3280,364.544,629,148
3300,474.112,961,116
3320,437.248,961,131
3340,487.424,1077,131
3360,488.448,958,118
3380,437.248,993,155
3400,424.8,926,163
3420,428.032,923,108
3440,479.232,960,105
3460,684.032,1323,361
3480,456.576,954,122
3500,444.416,889,105
3520,454.656,1078,202
3540,476.16,806,224
3560,527.36,1121,115
3580,522.24,1002,125
3600,497.664,1121,136
3620,475.136,946,192
3640,444.416,928,109
3660,449.536,915,105
3680,455.68,924,119
3700,443.392,928,119
3720,466.944,1020,125
3740,453.632,944,128
3760,443.392,939,112
3780,458.752,945,127
3800,461.824,913,105
3820,452.608,947,122
3840,444.416,946,127
3860,400.384,671,114
3880,429.056,956,105
3900,404.48,679,126
3920,460.8,946,112
3940,552.96,1017,127
3960,456.576,950,130
3980,467.968,959,119
4000,478.208,1075,170
4020,472.064,948,109
4040,479.232,1091,132
4060,466.944,960,118
4080,467.968,1084,133
4100,466.848,943,114
4120,461.824,1011,134
4140,527.36,1134,117
4160,717.824,1299,131
4180,582.656,1073,112
4200,462.848,1084,145
4220,591.872,1090,121
4240,470.016,1037,118
4260,487.424,974,115
4280,477.184,723,192
4300,507.904,1023,128
4320,534.528,1040,220
4340,574.464,1162,216
4360,498.688,826,149
4380,498.688,804,148
4400,499.712,793,186
4420,489.472,1032,135
4440,513.024,1133,150
4460,540.672,1064,120
4480,536.576,1112,129
4500,493.568,1001,182
4520,481.28,974,134
4540,514.048,1019,138
4560,532.32,1034,134
4580,505.856,980,118
4600,508.928,1017,181
4620,509.952,1012,125
4640,500.736,990,157
4660,507.904,1033,119
4680,468.992,721,155
4700,530.432,1030,124
4720,439.296,694,134
4740,550.912,1103,157
4760,523.264,1053,128
4780,561.152,1085,198
4800,539.648,1044,146
4820,572.416,1189,156
4840,583.68,1096,214
4860,531.456,1023,121
4880,512.896,779,119
4900,553.984,1048,121
4920,532.48,1037,147
4940,472.064,777,150
4960,526.208,1044,155
4980,518.144,1059,156
5000,537.6,1082,171
5020,576.512,1147,152
5040,491.52,771,226
5060,539.648,1056,138
5080,533.504,1029,137
5100,530.368,1109,132
5120,527.36,1015,122
5140,520.192,824,153
5160,552.96,1099,220
5180,542.72,1048,129
5200,525.312,1130,292
5220,527.36,1024,133
5240,508.928,994,135
5260,520.192,1019,139
5280,483.328,880,132
5300,492.544,777,138
5320,530.432,1032,134
5340,540.512,1034,130
5360,508.928,767,149
5380,565.248,1066,138
5400,535.552,941,127
5420,517.12,1015,234
5440,465.824,712,153
5460,512,1004,140
5480,521.216,1004,129
5500,530.432,1020,128
5520,534.528,1088,271
5540,542.72,1063,180
5560,527.36,1016,128
5580,510.976,1015,150
5600,504.832,1001,138
5620,502.784,992,137
5640,509.952,965,210
5660,527.36,1036,135
5680,534.528,1115,129
5700,514.048,994,124
5720,493.568,1099,170
5740,501.76,1026,179
5760,532.48,1063,139
5780,492.544,965,175
5800,512,858,34616
5820,517.12,1705,4288
5840,486.4,1002,155
5860,476.16,757,183
5880,498.688,841,5170
5900,489.472,850,9902
5920,444.416,750,144
5940,529.408,1151,155
5960,498.688,1149,147
5980,664.576,1193,2366
6000,490.496,816,170
6020,513.024,1119,161
6040,494.528,1017,253
6060,462.848,796,164
6080,567.296,871,264
6100,512,1022,160
6120,514.048,1037,161
6140,505.856,1023,141
6160,497.664,758,136
6180,475.104,710,137
6200,521.216,1035,142
6220,528.384,1019,154
6240,530.432,1051,164
6260,531.456,1024,141
6280,521.216,1096,135
6300,524.288,1078,165
6320,522.24,1009,178
6340,559.104,1114,153
6360,523.264,1044,152
6380,498.688,996,202
6400,508.928,997,131
6420,476.16,761,139
6440,524.288,971,143
6460,524.288,1016,137
6480,548.864,1174,165
6500,568.16,1083,148
6520,547.84,1086,140
6540,536.576,1036,217
6560,547.84,1036,130
6580,565.248,1168,135
6600,550.912,1066,241
6620,556.032,1096,157
6640,591.872,1247,182
6660,665.6,1228,150
6680,700.416,1187,196
6700,593.92,1091,132
6720,533.504,825,153
6740,564.224,1071,152
6760,568.32,1075,149
6780,566.272,1148,138
6800,557.056,1029,191
6820,545.792,1056,156
6840,561.152,1160,213
6860,545.792,1053,140
6880,586.752,1099,149
6900,599.04,1112,237
6920,571.392,1090,217
6940,572.416,1099,146
6960,547.84,841,168
6980,561.152,1056,137
7000,591.872,1095,146
7020,593.856,1166,159
7040,607.232,1140,209
7060,594.944,1097,132
7080,590.848,1188,164
7100,626.592,1124,192
7120,645.12,1140,155
7140,627.712,1221,160
7160,551.936,803,153
7180,589.696,1088,144
7200,575.488,1144,180
7220,588.8,1172,155
7240,575.488,1076,216
7260,571.392,1088,160
7280,556.032,1066,247
7300,551.936,1045,143
7320,557.056,1054,180
7340,562.176,1112,190
7360,558.08,1080,158
7380,560.128,1055,218
7400,582.656,1085,151
7420,558.08,1287,192
7440,537.6,1038,208
7460,537.6,964,178
7480,1343.49,2011,184
7500,1254.4,1926,170
7520,1216.51,1839,177
7540,1349.63,1984,156
7560,1305.6,1886,158
7580,1281.02,1911,159
7600,1275.9,1958,152
7620,1270.78,1892,150
7640,1260.54,2114,159
7660,1240.06,1879,164
7680,1281.02,1990,257
7700,1329.15,2035,238
7720,1294.34,1940,161
7740,1310.72,2034,157
7760,1455.1,2148,149
7780,1480.7,2202,182
7800,1417.22,2177,381
7820,1470.46,2168,164
7840,1388.54,2011,246
7860,1342.46,2028,157
7880,1316.86,2059,166
7900,1352.7,1987,234
7920,1399.81,2021,158
7940,1472.51,2213,187
7960,1503.23,2126,145
7980,1582.08,2230,159
8000,1549.31,2351,186
8020,1448.96,2096,259
8040,1414.14,2061,166
8060,1428.48,2092,169
8080,1359.87,2039,213
8100,1329.15,2025,162
8120,1396.74,2221,156
8140,1439.74,2082,248
8160,1577.98,2252,167
8180,1602.56,2275,170
8200,1438.72,1872,182
8220,1463.3,2204,173
