object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
5580,529.408,1020,127
5600,501.76,1005,209
5620,489.472,1014,152
5640,505.856,1065,159
5660,496.64,1002,142
5680,507.904,1022,146
5700,507.904,1032,158
5720,520.192,1096,158
5740,586.752,1182,131
5760,534.528,1031,127
5780,533.504,1137,145
5800,527.36,870,29642
5820,890.88,1140,169
5840,539.648,1131,164
5860,525.312,1056,153
5880,504.832,814,5933
5900,559.104,937,11543
5920,520.192,1033,143
5940,544.768,1073,167
5960,527.36,1065,162
5980,708.608,1394,2848
6000,451.584,781,166
6020,506.88,1046,246
6040,531.328,1064,162
6060,471.04,810,271
6080,513.024,1051,203
6100,526.336,1155,200
6120,524.288,1027,129
6140,688.128,1344,172
6160,479.232,772,156
6180,505.856,1018,146
6200,455.68,791,161
6220,602.112,1093,136
6240,516.096,1161,133
6260,500.736,1016,128
6280,507.904,1018,136
6300,472,758,135
6320,528.384,1075,160
6340,600.064,1138,168
6360,542.72,1060,160
6380,540.672,1035,184
6400,543.744,1038,126
6420,514.048,1008,233
6440,547.84,1084,156
6460,543.744,1325,152
6480,477.184,765,147
6500,478.176,778,174
6520,502.784,815,193
6540,528.224,1129,139
6560,506.88,999,139
6580,574.464,1222,177
6600,565.248,1260,159
6620,566.272,1066,203
6640,542.72,1101,132
6660,503.808,795,163
6680,539.648,1109,176
6700,500.736,756,185
6720,527.232,1040,139
6740,548.864,1153,156
6760,563.2,1052,137
6780,528.384,1041,156
6800,538.624,1047,308
6820,526.336,879,167
6840,493.568,783,149
6860,477.184,790,167
6880,479.232,809,174
6900,512.896,1124,179
6920,525.312,1157,165
6940,565.248,1249,166
6960,587.776,1104,219
6980,619.52,1155,151
7000,559.104,1144,148
7020,534.528,847,156
7040,510.976,820,267
7060,559.968,1096,163
7080,588.8,1147,202
7100,527.36,1032,151
7120,585.6,1099,154
7140,542.72,1125,149
7160,567.296,1110,173
7180,570.368,1094,161
7200,571.328,1211,175
7220,510.976,808,174
7240,564.224,1231,180
7260,664.576,1433,166
7280,568.32,1248,169
7300,540.576,1051,232
7320,544.736,1048,147
7340,552.96,1157,151
7360,560.128,1069,218
7380,545.792,866,179
7400,559.104,897,182
7420,657.408,1181,169
7440,551.936,1069,150
7460,535.552,1055,150
7480,537.6,1037,146
7500,557.056,1054,154
7520,531.456,860,253
7540,567.296,1093,169
7560,568.32,1216,177
7580,550.912,1158,190
7600,518.08,1094,263
7620,575.488,1148,226
7640,540.672,1187,182
7660,530.432,827,148
7680,640,1345,159
7700,581.632,1075,156
7720,541.696,1063,149
7740,571.232,1147,181
7760,570.368,1108,346
7780,508.928,847,182
7800,565.088,1170,253
7820,553.984,1133,158
7840,542.72,1065,158
7860,529.408,1149,147
7880,562.176,1140,343
7900,553.984,854,179
7920,521.216,816,172
7940,545.792,1169,191
7960,544.768,1108,175
7980,544.768,1105,164
8000,526.176,819,198
8020,544.768,1075,148
8040,585.728,1269,270
8060,505.856,810,161
8080,544.768,853,160
8100,540.672,844,183
8120,498.688,811,192
8140,502.784,812,178
8160,522.24,804,223
8180,588.8,1158,282
8200,561.152,1145,150
