object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
20,1695.74,2210,2653
40,472.064,991,45
60,514.048,856,111
80,456.704,715,121
100,357.152,587,112
120,320.512,529,113
140,368.64,595,110
160,399.36,646,121
180,580.608,1133,102
200,437.248,781,202
220,660.48,1140,101
240,616.416,1282,100
260,602.112,1046,94
280,661.504,1150,93
300,287.744,516,94
320,602.016,1053,77
340,291.84,515,97
360,629.824,1130,101
380,500.736,989,87
400,654.176,1111,86
420,623.616,1080,87
440,629.76,1087,81
460,665.6,1256,91
480,658.496,1198,100
500,758.784,1209,236
520,709.632,1168,82
540,415.744,639,110
560,820.224,1298,105
580,774.144,1214,95
600,933.888,1446,100
620,861.152,1315,121
640,601.088,872,102
660,775.168,1407,81
680,847.936,1504,99
700,796.544,1386,101
720,729.984,1381,96
740,297.984,575,107
760,807.04,1255,94
780,793.6,1221,96
800,812.16,1376,94
820,785.408,1398,92
840,897.024,1450,269
860,385.984,645,110
880,828.512,1287,113
900,805.888,1299,102
920,303.104,566,91
940,371.616,633,113
960,740.192,1207,111
980,924.672,1392,91
1000,624.64,1169,89
1020,405.504,666,113
1040,780.352,1249,126
1060,778.4,1215,75
1080,764.928,1247,100
1100,769.024,1215,89
1120,350.208,615,123
1140,670.592,1174,112
1160,757.76,1234,188
1180,344.064,626,108
1200,703.36,1163,109
1220,706.56,1154,85
1240,716.8,1199,178
1260,696.32,1171,92
1280,688.128,1235,107
1300,701.344,1164,140
1320,692.224,1240,93
1340,692.224,1248,99
1360,698.24,1154,132
1380,306.176,542,105
1400,336.896,569,115
1420,313.344,557,102
1440,699.392,1152,94
1460,708.608,1156,89
1480,703.424,1163,99
1500,762.88,1253,88
1520,704.512,1208,88
1540,704.512,1164,184
1560,721.92,1194,150
1580,717.824,1213,112
1600,784.384,1274,100
1620,617.472,1085,106
1640,706.56,1152,93
1660,820.224,1300,96
1680,644.096,1212,98
1700,502.72,958,97
1720,989.184,1491,127
1740,465.92,996,102
1760,499.712,942,90
1780,619.52,1309,175
1800,316.416,621,122
1820,499.712,954,93
1840,520.192,975,95
1860,475.04,941,103
1880,606.208,1077,118
1900,323.584,581,93
1920,347.136,638,123
1940,498.688,941,85
1960,494.592,954,104
1980,474.112,928,91
2000,491.36,962,150
2020,488.448,933,96
2040,349.184,619,110
2060,446.432,906,109
2080,346.112,611,98
2100,481.28,954,124
2120,482.304,953,97
2140,442.368,890,93
2160,465.92,1181,120
2180,508.928,1037,132
2200,448.512,1029,118
2220,337.92,577,134
2240,454.656,978,104
2260,449.536,907,150
2280,339.968,639,113
2300,480.256,969,121
2320,455.68,917,121
2340,436.224,887,90
2360,435.2,892,94
2380,440.32,917,107
2400,505.856,952,129
2420,435.2,881,99
2440,434.176,890,96
2460,439.296,949,109
2480,461.824,917,142
2500,440.32,914,90
2520,538.624,1166,129
2540,442.368,900,104
2560,466.944,1045,112
2580,444.416,903,102
2600,446.464,893,151
2620,489.344,972,94
2640,432.128,863,97
2660,465.92,939,115
2680,448.512,916,103
2700,524.288,971,98
2720,578.56,1165,118
2740,595.968,1073,108
2760,407.552,1121,114
2780,515.968,989,111
2800,556.032,1017,98
2820,557.056,1011,182
2840,568.32,1048,111
2860,562.176,1011,100
2880,451.584,1014,114
2900,519.168,1012,179
2920,609.28,1063,108
2940,471.04,953,97
2960,472.064,933,105
2980,443.392,919,109
3000,445.44,940,102
3020,460.8,921,99
3040,456.704,1010,118
3060,468.992,986,126
3080,459.776,1075,128
3100,438.272,911,97
3120,532.48,990,98
3140,481.28,966,107
3160,468.992,929,108
3180,483.328,986,116
3200,497.664,1003,130
3220,489.472,1043,120
3240,577.536,1030,95
3260,469.984,938,125
3280,468.96,948,100
3300,431.104,691,147
3320,479.232,930,97
3340,480.256,935,106
3360,555.008,1022,107
3380,509.952,980,124
3400,510.976,992,108
3420,494.592,1043,112
3440,525.312,1022,113
3460,496.64,945,293
3480,485.376,1068,117
3500,494.592,1088,129
3520,523.264,1123,120
3540,613.376,1103,104
3560,621.536,1136,118
